"id","name","lat","lon","files","files2030","files2050","files2080"
"1","Aberdeen","57.16","2.12","Aberdeen_control","Aberdeen_2030_med","Aberdeen_2050_med","Aberdeen_2080_med"
"2","Aberystwyth","52.41","4.07","Aberystwyth_control","Aberystwyth_2030_med","Aberystwyth_2050_med","Aberystwyth_2080_med"
"3","Ammanford","51.8","3.99","Ammanford_control","Ammanford_2030_med","Ammanford_2050_med","Ammanford_2080_med"
"4","Bangor","53.23","4.14","Bangor_control","Bangor_2030_med","Bangor_2050_med","Bangor_2080_med"
"5","Barnstaple","51.07","4.03","Barnstaple_control","Barnstaple_2030_med","Barnstaple_2050_med","Barnstaple_2080_med"
"6","Belfast","54.66","6.23","Belfast_Control","Belfast_2030_med","Belfast_2050_med","Belfast_2080_med"
"7","Bicester","51.89","1.15","Bicester_control","Bicester_2030_med","Bicester_2050_med","Bicester_2080_med"
"8","Birmingham","52.44","1.74","Birmingham_control","Birmingham_2030_med","Birmingham_2050_med","Birmingham_2080_med"
"9","Bodmin","50.48","4.73","Bodmin_Control","Bodmin_2030_med","Bodmin_2050_med","Bodmin_2080_med"
"10","Brighton","50.85","0.12","Brighton_control","Brighton_2030_med","Brighton_2050_med","Brighton_2080_med"
"11","Bristol","51.45","2.59","Bristol_control","Bristol_2030_med","Bristol_2050_med","Bristol_2080_med"
"12","Bradford","53.79","1.81","Bradford_control","Bradford_2030_med","Bradford_2050_med","Bradford_2080_med"
"13","Camborne","50.23","5.33","Camborne_control","Camborne_2030_med","Camborne_2050_med","Camborne_2080_med"
"14","Cambridge","52.2","0.16","Cambridge_control","Cambridge_2030_med","Cambridge_2050_med","Cambridge_2080_med"
"15","Cardiff","51.4","3.33","Cardiff_control","Cardiff_2030_med","Cardiff_2050_med","Cardiff_2080_med"
"16","Carlisle","54.91","2.97","Carlisle_control","Carlisle_2030_med","Carlisle_2050_med","Carlisle_2080_med"
"17","Dover","51.13","1.32","Dover_control","Dover_2030_med","Dover_2050_med","Dover_2080_med"
"18","Dundee","56.48","3.01","Dundee_control","Dundee_2030_med","Dundee_2050_med","Dundee_2080_med"
"19","Ebbw Vale","51.81","3.2","Ebbw Vale_control","Ebbw Vale_2030_med","Ebbw Vale_2050_med","Ebbw Vale_2080_med"
"20","Edinburgh","55.94","3.32","Edinburgh_control","Edinburgh_2030_med","Edinburgh_2050_med","Edinburgh_2080_med"
"21","Exeter","50.73","3.54","Exeter_control","Exeter_2030_med","Exeter_2050_med","Exeter_2080_med"
"22","Fort William","56.81","5.07","Fort William_control","Fort William_2030_med","Fort William_2050_med","Fort William_2080_med"
"23","Glasgow","55.88","4.44","Glasgow_control","Glasgow_2030_med","Glasgow_2050_med","Glasgow_2080_med"
"24","Hull","53.78","0.29","Hull_control","Hull_2030_med","Hull_2050_med","Hull_2080_med"
"25","Isles of Scilly","49.93","6.29","Isles_of_Scilly_Control","Isles of Scilly_2030_med","Isles of Scilly_2050_med","Isles of Scilly_2080_med"
"26","Lancaster","54.05","2.8","Lancaster_control","Lancaster_2030_med","Lancaster_2050_med","Lancaster_2080_med"
"27","Leeds","53.79","1.58","Leeds_Control","Leeds_2030_med","Leeds_2050_med","Leeds_2080_med"
"28","Leek","53.11","2.04","Leek_control","Leek_2030_med","Leek_2050_med","Leek_2080_med"
"29","Leicester","52.66","1.15","Leicester_control","Leicester_2030_med","Leicester_2050_med","Leicester_2080_med"
"30","Liverpool","53.43","2.94","Liverpool_control","Liverpool_2030_med","Liverpool_2050_med","Liverpool_2080_med"
"31","London Heathrow","51.49","0.45","LondonIslington_control","London Heathrow_2030_med","London Heathrow_2050_med","London Heathrow_2080_med"
"32","London Islington","51.53","0.09","London_Heathrow_control","London Islington_2030_med","London Islington_2050_med","London Islington_2080_med"
"33","Londonderry","55.02","7.36","Londonderry_control","Londonderry_2030_med","Londonderry_2050_med","Londonderry_2080_med"
"34","Manchester","53.34","2.26","Manchester_Control","Manchester_2030_med","Manchester_2050_med","Manchester_2080_med"
"35","Margate","51.39","1.41","Margate_Control","Margate_2030_med","Margate_2050_med","Margate_2080_med"
"36","Newcastle","54.96","1.57","Newcastle_Control","Newcastle_2030_med","Newcastle_2050_med","Newcastle_2080_med"
"37","Norwich","52.76","1.36","Norwich_Control","Norwich_2030_med","Norwich_2050_med","Norwich_2080_med"
"38","Nottingham","53.02","1.22","Nottingham_control","Nottingham_2030_med","Nottingham_2050_med","Nottingham_2080_med"
"39","Oxford","51.75","1.26","Oxford_control","Oxford_2030_med","Oxford_2050_med","Oxford_2080_med"
"40","Penryn","50.16","5.12","Penryn_Control","Penryn_2030_med","Penryn_2050_med","Penryn_2080_med"
"41","Plymouth","50.35","4.14","Plymouth_control","Plymouth_2030_med","Plymouth_2050_med","Plymouth_2080_med"
"42","Portsmouth","50.82","1.12","Portsmouth_control","Portsmouth_2030_med","Portsmouth_2050_med","Portsmouth_2080_med"
"43","Reading","51.44","0.96","Reading_control","Reading_2030_med","Reading_2050_med","Reading_2080_med"
"44","Sheffield","53.39","1.44","Sheffield_control","Sheffield_2030_med","Sheffield_2050_med","Sheffield_2080_med"
"45","Southampton","50.91","1.4","Southampton_control","Southampton_2030_med","Southampton_2050_med","Southampton_2080_med"
"46","Southend-on-Sea","51.54","0.78","Southend_Control","Southend-on-Sea_2030_med","Southend-on-Sea_2050_med","Southend-on-Sea_2080_med"
"47","St Albans","51.75","0.37","St Albans_control","St Albans_2030_med","St Albans_2050_med","St Albans_2080_med"
"48","Stockport","53.38","2.19","Stockport_control","Stockport_2030_med","Stockport_2050_med","Stockport_2080_med"
"49","Swindon","51.18","1.75","Swindon_Control","Swindon_2030_med","Swindon_2050_med","Swindon_2080_med"
"50","Truro","50.24","5.05","Truro_control","Truro_2030_med","Truro_2050_med","Truro_2080_med"
"51","Welwyn Garden City","51.8","0.15","Welwyn_control","Welwyn Garden City_2030_med","Welwyn Garden City_2050_med","Welwyn Garden City_2080_med"
